Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
71,tr_better,0.594500521,0.51109116,0.667892017,0.554910643,0.497915672,0.608313442,0.660713895,0.550561174,0.732109333,0.524589654,0.445847797,0.753064666
72,tr_better,0.590588158,0.507378754,0.662713857,0.550832922,0.492226483,0.610586179,0.659778688,0.547105443,0.730834711,0.526673785,0.448850068,0.75572589
73,tr_better,0.59530471,0.512147548,0.668059834,0.553990343,0.482651328,0.629394143,0.659627913,0.54629853,0.728405277,0.524754956,0.446285865,0.750330408
74,tr_better,0.594062446,0.511742693,0.666831156,0.554050087,0.503006634,0.609994167,0.659827761,0.544079869,0.731341607,0.52423674,0.447683514,0.753937686
75,tr_better,0.595363151,0.510136347,0.666294031,0.553448172,0.490603732,0.599070154,0.659562165,0.543842672,0.732708154,0.524065847,0.445459032,0.761462336
76,tr_better,0.592653697,0.508032276,0.663323162,0.552603638,0.476065153,0.611487008,0.660071573,0.544773156,0.730359523,0.525456332,0.447062858,0.746551117
77,tr_better,0.593614211,0.508789489,0.664820319,0.553818225,0.492034199,0.606083106,0.658641595,0.543385638,0.729773121,0.523567124,0.4465098,0.744590338
78,tr_better,0.593945834,0.51232644,0.663367966,0.552435144,0.495624183,0.638782685,0.660117089,0.547934903,0.73024087,0.525739597,0.446016046,0.753251457
79,tr_better,0.5947621,0.511008675,0.665529885,0.55449258,0.468176516,0.63812973,0.659632934,0.550269229,0.727617727,0.525552791,0.447091678,0.756016002
80,tr_better,0.593124781,0.507230025,0.664474879,0.553017709,0.494244243,0.608892507,0.660140001,0.543508799,0.729955955,0.524354044,0.446487631,0.752185239
81,tr_better,0.592411609,0.509886635,0.665225652,0.552589895,0.487750355,0.608335132,0.659741598,0.547641234,0.731409363,0.526088165,0.446791735,0.761040985
82,tr_better,0.593099272,0.50864892,0.667015831,0.552096003,0.487310272,0.600125794,0.66050648,0.546768158,0.728832908,0.526105269,0.446991935,0.753099876
83,tr_better,0.593765157,0.511259153,0.666191996,0.553662152,0.476084932,0.609736913,0.659432002,0.547298769,0.729101109,0.523662258,0.445772421,0.748607456
84,tr_better,0.595077244,0.511045359,0.666768096,0.553762611,0.486469414,0.611454895,0.657812386,0.547662012,0.727271209,0.522893074,0.445552572,0.753910677
85,tr_better,0.59726024,0.51228225,0.669772697,0.553876005,0.46417723,0.61955262,0.657104407,0.540612416,0.727410519,0.52107216,0.442177539,0.75035674
86,tr_better,0.588894939,0.503525683,0.660320566,0.548590817,0.475935287,0.589435058,0.661139554,0.54798963,0.730547739,0.527962096,0.447816394,0.76232989
87,tr_better,0.58829081,0.505545719,0.661642182,0.547880796,0.494220924,0.613384021,0.659201876,0.543966739,0.73028199,0.529898158,0.450533825,0.762028447
88,tr_better,0.594658086,0.510532341,0.666913177,0.553805621,0.500692942,0.60783803,0.659429411,0.545449424,0.727872632,0.524415753,0.447970202,0.748149372
89,tr_better,0.595443817,0.511385476,0.667889451,0.553559845,0.495428179,0.61320599,0.653092164,0.54020701,0.722571856,0.522483273,0.445641431,0.74959864
90,tr_better,0.5925495,0.512995859,0.663507446,0.552910915,0.483721217,0.615808386,0.659940021,0.542897623,0.727249739,0.525291986,0.446687961,0.758773411
91,tr_better,0.585107027,0.499394293,0.658734212,0.538655915,0.489022528,0.585759819,0.667154384,0.550696218,0.737823616,0.533105284,0.453336262,0.762216889
92,tr_better,0.585482706,0.499278562,0.658930318,0.545890274,0.459452842,0.611660444,0.659121288,0.545640332,0.729148531,0.527915612,0.448941073,0.754184879
93,tr_better,0.591708853,0.507883021,0.662519162,0.551783637,0.480870008,0.606801277,0.65942063,0.54765738,0.728929867,0.525709488,0.448068161,0.753464664
94,tr_better,0.592323575,0.507570673,0.663891327,0.551776138,0.489495373,0.596037601,0.658987548,0.545322962,0.729745025,0.524792331,0.446255897,0.748934812
95,tr_better,0.590903782,0.509107458,0.661623135,0.55058589,0.49686437,0.600533872,0.660211933,0.54594948,0.729555801,0.526429884,0.449128005,0.751905799
96,tr_better,0.587500017,0.501718435,0.662859033,0.546805949,0.488818876,0.599551696,0.660529097,0.54221393,0.729094944,0.526823651,0.449321227,0.744410779
97,tr_better,0.588309345,0.503028121,0.662386476,0.549294255,0.470335622,0.612675542,0.656856959,0.539505585,0.72703823,0.525406166,0.447541252,0.755537943
98,tr_better,0.588038996,0.50558084,0.661153904,0.547989839,0.489143201,0.610114798,0.654759079,0.542013925,0.72400806,0.525195727,0.448806991,0.757983498
99,tr_better,0.588574683,0.504267833,0.660549924,0.549068117,0.466557066,0.601520124,0.654865472,0.546073999,0.723082167,0.52523352,0.449110742,0.751388342
100,tr_better,0.584207486,0.500215633,0.6574161,0.544547932,0.484891675,0.609480007,0.659559586,0.540423739,0.729388844,0.527904588,0.450767774,0.752479711
101,tr_better,0.593352629,0.510968141,0.663622898,0.552987997,0.477278575,0.606711591,0.659396269,0.548554248,0.728228287,0.523850747,0.4454437,0.752529379
102,tr_better,0.593499614,0.50776565,0.666194179,0.552625439,0.448199401,0.608292996,0.659257029,0.550393844,0.726714604,0.524383302,0.445309764,0.752762223
103,tr_better,0.592529379,0.508614679,0.665034252,0.5529281,0.503689235,0.616374621,0.659996306,0.546968934,0.730390036,0.523163754,0.445965268,0.74585718
104,tr_better,0.591932206,0.507313727,0.664107044,0.552452982,0.458102131,0.619283345,0.657731198,0.542803946,0.727650567,0.524299545,0.446530994,0.751920757
