Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
83,tr_worse,0.3190808,0.221940378,0.411258076,0.538950336,0.470932829,0.613276404,1.306916645,1.158413779,1.443542694,1.028530063,0.80844794,1.36925176
84,tr_worse,0.315251061,0.218363458,0.408895717,0.538888734,0.477294256,0.59735742,1.312224967,1.152338486,1.453370747,1.036347209,0.813748792,1.372595024
85,tr_worse,0.313672075,0.216863846,0.408015765,0.53887275,0.473481175,0.58835629,1.313991979,1.162682947,1.457957837,1.033564413,0.811523946,1.394757161
86,tr_worse,0.320931432,0.222515032,0.412563582,0.533935589,0.48577097,0.629451062,1.321795216,1.163288803,1.463041922,1.048936327,0.822056137,1.394934137
87,tr_worse,0.306458237,0.210377272,0.400005289,0.535939694,0.445513509,0.593316995,1.313421212,1.150085773,1.456347607,1.023737934,0.803966225,1.363144153
88,tr_worse,0.313778148,0.214460455,0.407999107,0.538957388,0.470799991,0.598311034,1.301054728,1.148371061,1.437607032,1.019560308,0.796653879,1.339487244
89,tr_worse,0.313340549,0.215753566,0.405208007,0.538888331,0.482299578,0.600131781,1.300500926,1.150861414,1.434743475,1.021283153,0.803079079,1.35355361
90,tr_worse,0.311726742,0.213127998,0.403930838,0.538586666,0.487951658,0.609060379,1.304095628,1.159630881,1.445299115,1.017918907,0.798425653,1.349931808
91,tr_worse,0.308659293,0.213782485,0.404154508,0.527127364,0.47662923,0.577773973,1.332848547,1.184679132,1.479736678,1.057723099,0.824907732,1.424806215
92,tr_worse,0.317009035,0.218071304,0.410141917,0.531848658,0.482444284,0.605019824,1.325872179,1.169993,1.470794767,1.050808321,0.820575574,1.395671685
93,tr_worse,0.312381791,0.214065274,0.406205363,0.536756729,0.462133778,0.592514194,1.316070903,1.157121258,1.456385979,1.035482909,0.81532705,1.383777469
94,tr_worse,0.313186434,0.216719471,0.406949406,0.538076442,0.474672576,0.591751783,1.315242038,1.16724752,1.455986019,1.035484814,0.811462171,1.374711238
95,tr_worse,0.315458937,0.21641037,0.409489871,0.533634002,0.464508834,0.606590279,1.324764154,1.161801995,1.469871055,1.052964931,0.816265374,1.441782628
96,tr_worse,0.300828859,0.20457712,0.396616221,0.532839622,0.450863317,0.604655584,1.308728697,1.162666811,1.445478174,1.004578245,0.794297467,1.318813972
97,tr_worse,0.313140447,0.219004618,0.40733084,0.534026326,0.464330259,0.582420629,1.32043277,1.170394884,1.463366629,1.042023002,0.816214354,1.37558719
98,tr_worse,0.3047382,0.207051933,0.398077612,0.533597758,0.484665777,0.607043525,1.31488534,1.161051891,1.453794487,1.02282266,0.80507497,1.358020295
99,tr_worse,0.305422101,0.208689876,0.396892742,0.534445259,0.491908072,0.584246589,1.313074777,1.147125403,1.450156022,1.02769178,0.808215564,1.370252417
100,tr_worse,0.326210728,0.226654287,0.420495273,0.528946516,0.465241781,0.583551072,1.328147402,1.158380718,1.467093852,1.056836041,0.820235325,1.408318825
101,tr_worse,0.313698808,0.221282108,0.40812076,0.538013898,0.473746333,0.594258425,1.314284129,1.156097666,1.450206428,1.030254041,0.803872896,1.358413362
102,tr_worse,0.312766864,0.216657366,0.40442494,0.53803862,0.486423813,0.597069532,1.313548068,1.164025569,1.450116061,1.030934183,0.813627985,1.376199
103,tr_worse,0.312781336,0.216569625,0.409370897,0.537760265,0.475234032,0.61141735,1.313040848,1.153344861,1.450193006,1.031221767,0.811128348,1.363537357
104,tr_worse,0.313287252,0.220284599,0.407283376,0.537744856,0.451093044,0.595606103,1.312063661,1.151628171,1.449732388,1.032284262,0.812791252,1.35582618
105,tr_worse,0.312740515,0.219766333,0.407503395,0.537510823,0.453954242,0.600609196,1.313199578,1.159821255,1.457164711,1.029122871,0.808339305,1.379534363
106,tr_worse,0.312539747,0.215417331,0.407440354,0.536995225,0.479844617,0.588944899,1.312923452,1.169414586,1.452079027,1.026536844,0.811665702,1.351703438
107,tr_worse,0.312895434,0.216790465,0.408352658,0.537371572,0.441625203,0.607208793,1.312663205,1.164009238,1.45061398,1.028767283,0.803479722,1.351316668
108,tr_worse,0.312863711,0.220830616,0.406303155,0.537338051,0.460518784,0.596984535,1.314943817,1.164041948,1.458238241,1.03401351,0.807149473,1.387363404
109,tr_worse,0.314811742,0.218672535,0.40919446,0.537671271,0.490762113,0.599943709,1.313373706,1.151950845,1.456807234,1.029565121,0.807155394,1.362652591
110,tr_worse,0.313715695,0.218988037,0.407723571,0.538131285,0.472969136,0.595881229,1.315813335,1.158214936,1.454855812,1.029772821,0.809057319,1.359680653
111,tr_worse,0.31370054,0.218434322,0.405784991,0.538731165,0.474581972,0.595491855,1.318908273,1.182710954,1.459933932,1.039185933,0.817892366,1.394736099
